Desc,Desc - Split 1,Desc - Split 2,ID,Portion,Calcium,Calories,Carbs,Chol,Fat,Fiber,Potassium,Protein,Sodium,Sugar,Vitamin C,Water
"CHEESE,MEXICAN,QUESO CHIHUAHUA",CHEESE,MEXICAN,1167,"1 cup, diced",651,374,5.56,105,29.68,0,52,21.56,617,5.56,0,39.13
"CHEESE,LOFAT,CHEDDAR OR COLBY",CHEESE,LOFAT,1168,"1 cup, diced",415,173,1.91,21,7,0,66,24.35,873,0.52,0,63.1
"CHEESE,LOW-SODIUM,CHEDDAR OR COLBY",CHEESE,LOW-SODIUM,1169,"1 cup, diced",703,398,1.91,100,32.62,0,112,24.35,21,0.49,0,38.98
"EGG,WHL,RAW,FRZ,PAST",EGG,WHL,1171,1 oz,62,147,1.01,372,9.95,0,135,12.33,128,0.25,0,75.81
"EGG,WHITE,RAW,FRZ,PAST",EGG,WHITE,1172,1 oz,8,48,1.04,0,0,0,169,10.2,169,0.25,0,88.17
"EGG,WHITE,DRIED",EGG,WHITE,1173,1 oz,62,382,7.8,0,0,0,1125,81.1,1280,5.4,0,5.8
"MILK,RED FAT,FLUID,2% MILKFAT,WO/ ADDED VIT A & VIT D",MILK,RED FAT,1174,1 cup,120,50,4.8,8,1.98,0,140,3.3,47,5.06,0.2,89.21
"MILK,FLUID,1% FAT,WO/ ADDED VIT A & VIT D",MILK,FLUID,1175,1 cup,125,42,4.99,5,0.97,0,150,3.37,44,5.2,0,89.92
"SOUR CREAM,REDUCED FAT",SOUR CREAM,REDUCED FAT,1178,1 tablespoon,141,181,7,35,14.1,0,211,7,70,0.3,0.9,71
"SOUR CREAM,LIGHT",SOUR CREAM,LIGHT,1179,1 tablespoon,141,136,7.1,35,10.6,0,212,3.5,83,0.22,0.9,78.1
"SOUR CREAM,FAT FREE",SOUR CREAM,FAT FREE,1180,1 tablespoon,125,74,15.6,9,0,0,129,3.1,141,0.39,0,80.6
"USDA COMMODITY,CHS,CHEDDAR,RED FAT",USDA COMMODITY,CHS,1182,"1 cup, shredded",905,282,2,56,18.3,0,93,27.2,725,0.58,0,48.2
"YOGURT,VAN OR LEM FLAV,NONFAT MILK,SWTND W/LOW-CALORIE SWTNR",YOGURT,VAN OR LEM FLAV,1184,"1 container,  (6 oz)",143,43,7.5,2,0.18,0,177,3.86,59,7.5,1.1,87.43
"PARMESAN CHS TOPPING,FAT FREE",PARMESAN CHS TOPPING,FAT FREE,1185,1 tablespoon,800,370,40,20,5,0,600,40,1150,1.5,0,8.6
"CHEESE,CREAM,FAT FREE",CHEESE,CREAM,1186,1 tbsp,351,105,7.66,12,1,0,278,15.69,702,5.48,0,71.87
"YOGURT,CHOC,NONFAT MILK",YOGURT,CHOC,1187,"1 container,  (6 oz)",88,112,23.53,1,0,1.2,339,3.53,135,14.97,0,71.57
KRAFT CHEEZ WHIZ PAST PROCESS CHS SAU,KRAFT CHEEZ WHIZ PAST PROCESS CHS SAU,,1188,2 tbsp,359,276,9.2,75,21,0.3,240,12,1638,6.7,0.4,51.5
KRAFT CHEEZ WHIZ LT PAST PROCESS CHS PRODUCT,KRAFT CHEEZ WHIZ LT PAST PROCESS CHS PRODUCT,,1189,2 tbsp,418,215,16.2,35,9.5,0.2,297,16.3,1705,8.2,0.4,51.5
KRAFT FREE SINGLES AMERICAN NONFAT PAST PROCESS CHS PRODUCT,KRAFT FREE SINGLES AMERICAN NONFAT PAST PROCESS CHS PRODUCT,,1190,1 slice,712,148,11.7,16,1,0.2,236,22.7,1298,6.7,0.2,58
KRAFT VELVEETA PAST PROCESS CHS SPRD,KRAFT VELVEETA PAST PROCESS CHS SPRD,,1191,1 oz,466,303,9.8,80,22,0,335,16.3,1499,8.1,0.2,45.8
KRAFT VELVEETA LT RED FAT PAST PROCESS CHS PRODUCT,KRAFT VELVEETA LT RED FAT PAST PROCESS CHS PRODUCT,,1192,1 oz,574,222,11.8,42,10.6,0,345,19.6,1586,8.5,0.1,51.3
KRAFT BREAKSTONE'S RED FAT SOUR CRM,KRAFT BREAKSTONE'S RED FAT SOUR CRM,,1193,2 tbsp,161,152,6.5,50,12,0.1,210,4.5,59,6.4,1.1,76.2
KRAFT BREAKSTONE'S FREE FAT FREE SOUR CRM,KRAFT BREAKSTONE'S FREE FAT FREE SOUR CRM,,1194,2 tbsp,141,91,15.1,9,1.3,0,219,4.7,72,7.2,1.2,77.7
"CREAM,HALF & HALF,FAT FREE",CREAM,HALF & HALF,1199,2 tbsp,96,59,9,5,1.4,0,206,2.6,100,5,0.7,86
REDDI WIP FAT FREE WHIPPED TOPPING,REDDI WIP FAT FREE WHIPPED TOPPING,,1200,1 tablespoon,108,149,25,16,5,0.4,108,3,72,16,0,66.44
"MILK,CHOC,FLUID,COMM,RED FAT,W/ ADDED CA",MILK,CHOC,1202,1 cup,194,78,12.13,8,1.9,0.7,123,2.99,66,9.55,0,82.17
